"Strain","Pro_mCh","Promoter","mCherry","TargetID","Ter_mod","Terminator","Construct","BioRep","ExpRep","Median_deltaCq","RNA_Abundance","na.rm","remove"
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modB","tRPS3","modB","BioRep1","1",-0.00499999999999901,1.0034717485095,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modB","tRPS3","modB","BioRep2","1",0.140000000000001,0.907519155317161,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modB","tRPS3","modB","BioRep3","1",0.354999999999999,0.781869643128594,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modB","tRPS3","modB","BioRep4","2",0.299999999999999,0.812252396356236,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modB","tRPS3","modB","BioRep5","2",0.335000000000001,0.792784136610284,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modB","tRPS3","modB","BioRep6","2",0.215000000000002,0.861546159712016,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modB","tRPS3","modB","BioRep1","1",-0.414999999999999,1.3332986770912,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modB","tRPS3","modB","BioRep2","1",-0.169999999999998,1.12505848468881,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modB","tRPS3","modB","BioRep3","1",-0.205,1.15268634679886,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modB","tRPS3","modB","BioRep4","2",-0.370000000000001,1.29235283063749,FALSE,FALSE
