"Include","Color","Pos","Name","Cp","Concentration","Standard","Status","Well","Cq","ExpRep","WellR","WellC","SampleID","Strain","Pro_mCh","Promoter","mCherry","BioRep","Ter_mod","Terminator","Construct","remove","Type","TechRep","TargetID","norm.by","Value.norm","Value.normexp"
TRUE,255,"G6","Sample 150",13.64,NA,0,NA,"G6",13.64,"1","G","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","RPS3-ORF",13.65,-0.00999999999999979,1.00695555005672
TRUE,255,"H6","Sample 174",13.07,NA,0,NA,"H6",13.07,"1","H","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","PGK1-ORF",13.65,-0.58,1.49484924863494
TRUE,255,"I6","Sample 198",11,NA,0,NA,"I6",11,"1","I","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","mCh-7",13.65,-2.65,6.27667278317401
TRUE,255,"J6","Sample 222",13.33,NA,0,NA,"J6",13.33,"1","J","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","URA3-ORF",13.65,-0.32,1.24833054890161
TRUE,255,"K6","Sample 246",13.66,NA,0,NA,"K6",13.66,"1","K","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","RPS3-ORF",13.65,0.00999999999999979,0.993092495437036
TRUE,255,"L6","Sample 270",13.37,NA,0,NA,"L6",13.37,"1","L","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","PGK1-ORF",13.65,-0.280000000000001,1.21419488439505
TRUE,255,"A4","Sample 4",10.58,NA,0,NA,"A4",10.58,"2","A","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","mCh-7",13.62,-3.04,8.22491061324854
TRUE,255,"B4","Sample 28",13.71,NA,0,NA,"B4",13.71,"2","B","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","URA3-ORF",13.62,0.0899999999999999,0.939522749214012
TRUE,255,"C4","Sample 52",13.94,NA,0,NA,"C4",13.94,"2","C","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","RPS3-ORF",13.62,0.319999999999999,0.801069877589623
TRUE,255,"D4","Sample 76",13.45,NA,0,NA,"D4",13.45,"2","D","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","PGK1-ORF",13.62,-0.170000000000002,1.12505848468881
TRUE,255,"E4","Sample 100",11.27,NA,0,NA,"E4",11.27,"2","E","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","mCh-7",13.62,-2.35,5.09824250927705
TRUE,255,"F4","Sample 124",13.74,NA,0,NA,"F4",13.74,"2","F","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","URA3-ORF",13.62,0.119999999999999,0.920187650624876
TRUE,255,"G4","Sample 148",13.81,NA,0,NA,"G4",13.81,"2","G","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","RPS3-ORF",13.62,0.19,0.876605721316035
TRUE,255,"H4","Sample 172",13.55,NA,0,NA,"H4",13.55,"2","H","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","PGK1-ORF",13.62,-0.0700000000000003,1.04971668362307
TRUE,255,"I4","Sample 196",10.98,NA,0,NA,"I4",10.98,"2","I","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","mCh-7",13.62,-2.64,6.233316637284
TRUE,255,"J4","Sample 220",13.77,NA,0,NA,"J4",13.77,"2","J","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","URA3-ORF",13.62,0.149999999999999,0.901250462610831
TRUE,255,"K4","Sample 244",13.69,NA,0,NA,"K4",13.69,"2","K","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","RPS3-ORF",13.62,0.0699999999999985,0.952637998043938
TRUE,255,"L4","Sample 268",13.42,NA,0,NA,"L4",13.42,"2","L","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","PGK1-ORF",13.62,-0.200000000000001,1.14869835499704
TRUE,255,"A5","Sample 5",11.62,NA,0,NA,"A5",11.62,"2","A","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","mCh-7",13.635,-2.015,4.04180578594706
TRUE,255,"B5","Sample 29",14.41,NA,0,NA,"B5",14.41,"2","B","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","URA3-ORF",13.635,0.775,0.584388624280623
