,experiment,strain,max gr,time of max gr
53,20201122-Pro-ter_mTurq2-collection_n2,pSRO9-mTurq-tHSP26,0.3998336010680281,2.327268518518518
54,20201122-Pro-ter_mTurq2-collection_n2,pSRO9-mTurq-tPAB1,0.39809044699833357,2.195981203703704
55,20201122-Pro-ter_mTurq2-collection_n2,pSRO9-mTurq-tPGK1,0.38981906713543374,2.5686671296296297
56,20201122-Pro-ter_mTurq2-collection_n2,pSRO9-mTurq-tPMA1_long,0.3925019756643998,2.9837112037037037
57,20201122-Pro-ter_mTurq2-collection_n2,pSRO9-mTurq-tRPS13,0.401212923392919,2.5411387962962966
58,20201122-Pro-ter_mTurq2-collection_n2,pSRO9-mTurq-tRPS3,0.4017239810590716,2.6999545370370375
59,20201122-Pro-ter_mTurq2-collection_n2,pSRO9-mTurq-tSRO9_long,0.4047615358864131,2.755010648148148
60,20201122-Pro-ter_mTurq2-collection_n2,pSRO9-mTurq-tSUN4,0.3962677593844311,2.5750195370370377
61,20201122-Pro-ter_mTurq2-collection_n2,pSRO9-mTurq-tTOS6,0.39095083791906604,2.4712612962962965
,experiment,strain,max gr,time of max gr
0,20201202-Pro-ter_mTurq2-collection_n4,POT1-ccdB,0.3782821053836591,3.051782592592593
1,20201202-Pro-ter_mTurq2-collection_n4,null,,
2,20201202-Pro-ter_mTurq2-collection_n4,pCLN2-mTurq-tCLN2,0.36799723479120866,2.5032790740740745
3,20201202-Pro-ter_mTurq2-collection_n4,pCLN2-mTurq-tHSP26,0.3838647193227256,2.8569470370370365
4,20201202-Pro-ter_mTurq2-collection_n4,pCLN2-mTurq-tPAB1,0.37068309845080444,2.7362337037037037
5,20201202-Pro-ter_mTurq2-collection_n4,pCLN2-mTurq-tPGK1,0.37966429181204203,2.850593703703703
6,20201202-Pro-ter_mTurq2-collection_n4,pCLN2-mTurq-tPMA1_long,0.36787003878005287,3.0327225925925934
7,20201202-Pro-ter_mTurq2-collection_n4,pCLN2-mTurq-tRPS13,0.3880195474908825,2.9967203703703706
8,20201202-Pro-ter_mTurq2-collection_n4,pCLN2-mTurq-tRPS3,0.3833749084873799,2.9225981481481482
9,20201202-Pro-ter_mTurq2-collection_n4,pCLN2-mTurq-tSRO9_long,0.36953607842323166,2.924715925925926
10,20201202-Pro-ter_mTurq2-collection_n4,pCLN2-mTurq-tSUN4,0.37774393969137465,3.0157803703703703
11,20201202-Pro-ter_mTurq2-collection_n4,pCLN2-mTurq-tTOS6,0.3723399936343369,2.897184814814815
12,20201202-Pro-ter_mTurq2-collection_n4,pHSP26-mTurq-tCLN2,0.3725745233498188,2.8802425925925923
13,20201202-Pro-ter_mTurq2-collection_n4,pHSP26-mTurq-tHSP26,0.3753366098875988,2.9183625925925925
14,20201202-Pro-ter_mTurq2-collection_n4,pHSP26-mTurq-tPAB1,0.38169286786155804,2.740469259259259
15,20201202-Pro-ter_mTurq2-collection_n4,pHSP26-mTurq-tPGK1,0.37179382055856414,2.865418148148149
16,20201202-Pro-ter_mTurq2-collection_n4,pHSP26-mTurq-tPMA1_long,0.3598511496790488,3.191555925925926
17,20201202-Pro-ter_mTurq2-collection_n4,pHSP26-mTurq-tRPS13,0.3690825365588126,3.164024814814815
18,20201202-Pro-ter_mTurq2-collection_n4,pHSP26-mTurq-tRPS3,0.3768697052391489,3.051782592592593
19,20201202-Pro-ter_mTurq2-collection_n4,pHSP26-mTurq-tSRO9_long,0.3515490972426107,3.4012159259259263
20,20201202-Pro-ter_mTurq2-collection_n4,pHSP26-mTurq-tSUN4,0.3634768300382633,3.2953270370370364
