"strain","promoter","mCherry","UTR3","target_id","bio_rep","deltacq","rel_abund_deltacq","na.rm"
"pRPS3-mCherry-tPGK1","pRPS3","mCherry","tPGK1","PGK1-ORF","bio_rep3",-0.407777777777778,1.32664077878827,FALSE
"pRPS3-mCherry-tPGK1","pRPS3","mCherry","tPGK1","RPS3-ORF","bio_rep1",0.74,0.598739352309464,FALSE
"pRPS3-mCherry-tPGK1","pRPS3","mCherry","tPGK1","RPS3-ORF","bio_rep2",0.743333333333334,0.597357567578009,FALSE
"pRPS3-mCherry-tPGK1","pRPS3","mCherry","tPGK1","RPS3-ORF","bio_rep3",0.462222222222222,0.725867324031822,FALSE
"pRPS3-mCherry-tPGK1","pRPS3","mCherry","tPGK1","URA3-ORF","bio_rep1",-0.220000000000001,1.16473358646846,FALSE
"pRPS3-mCherry-tPGK1","pRPS3","mCherry","tPGK1","URA3-ORF","bio_rep2",-0.246666666666666,1.18646263490849,FALSE
"pRPS3-mCherry-tPGK1","pRPS3","mCherry","tPGK1","URA3-ORF","bio_rep3",-0.0977777777777789,1.07012385165758,FALSE
"pRPS3-mCherry-tPMA1","pRPS3","mCherry","tPMA1","mCh-7","bio_rep1",2.7,0.153893051668114,FALSE
"pRPS3-mCherry-tPMA1","pRPS3","mCherry","tPMA1","mCh-7","bio_rep2",1.46111111111111,0.363213287952669,FALSE
"pRPS3-mCherry-tPMA1","pRPS3","mCherry","tPMA1","mCh-7","bio_rep3",1.91666666666667,0.264865773589824,FALSE
"pRPS3-mCherry-tPMA1","pRPS3","mCherry","tPMA1","PGK1-ORF","bio_rep1",-0.75,1.68179283050743,FALSE
"pRPS3-mCherry-tPMA1","pRPS3","mCherry","tPMA1","PGK1-ORF","bio_rep2",-0.26888888888889,1.20487951599471,FALSE
"pRPS3-mCherry-tPMA1","pRPS3","mCherry","tPMA1","PGK1-ORF","bio_rep3",-0.803333333333333,1.74512857528165,FALSE
"pRPS3-mCherry-tPMA1","pRPS3","mCherry","tPMA1","RPS3-ORF","bio_rep1",0.27,0.829319545814442,FALSE
"pRPS3-mCherry-tPMA1","pRPS3","mCherry","tPMA1","RPS3-ORF","bio_rep2",0.431111111111111,0.741690342435306,FALSE
"pRPS3-mCherry-tPMA1","pRPS3","mCherry","tPMA1","RPS3-ORF","bio_rep3",0.116666666666667,0.922316193585939,FALSE
"pRPS3-mCherry-tPMA1","pRPS3","mCherry","tPMA1","URA3-ORF","bio_rep1",0.48,0.716977624007913,FALSE
"pRPS3-mCherry-tPMA1","pRPS3","mCherry","tPMA1","URA3-ORF","bio_rep2",-0.158888888888889,1.11642697553695,FALSE
"pRPS3-mCherry-tPMA1","pRPS3","mCherry","tPMA1","URA3-ORF","bio_rep3",0.726666666666667,0.604298528173384,FALSE
"pRPS3-mCherry-tRPS13","pRPS3","mCherry","tRPS13","mCh-7","bio_rep1",0.0899999999999999,0.939522749214012,FALSE
"pRPS3-mCherry-tRPS13","pRPS3","mCherry","tRPS13","mCh-7","bio_rep2",0.543333333333333,0.68618365522189,FALSE
"pRPS3-mCherry-tRPS13","pRPS3","mCherry","tRPS13","mCh-7","bio_rep3",-0.172222222222222,1.12679277807238,FALSE
"pRPS3-mCherry-tRPS13","pRPS3","mCherry","tRPS13","PGK1-ORF","bio_rep1",-0.200000000000001,1.14869835499704,FALSE
"pRPS3-mCherry-tRPS13","pRPS3","mCherry","tRPS13","PGK1-ORF","bio_rep2",-0.496666666666666,1.41094980711805,FALSE
"pRPS3-mCherry-tRPS13","pRPS3","mCherry","tRPS13","PGK1-ORF","bio_rep3",-0.242222222222223,1.18281317812856,FALSE
"pRPS3-mCherry-tRPS13","pRPS3","mCherry","tRPS13","RPS3-ORF","bio_rep1",0.389999999999999,0.76312960448028,FALSE
"pRPS3-mCherry-tRPS13","pRPS3","mCherry","tRPS13","RPS3-ORF","bio_rep2",0.633333333333333,0.64468515421979,FALSE
"pRPS3-mCherry-tRPS13","pRPS3","mCherry","tRPS13","RPS3-ORF","bio_rep3",0.267777777777777,0.830597953489017,FALSE
"pRPS3-mCherry-tRPS13","pRPS3","mCherry","tRPS13","URA3-ORF","bio_rep1",-0.200000000000001,1.14869835499704,FALSE
"pRPS3-mCherry-tRPS13","pRPS3","mCherry","tRPS13","URA3-ORF","bio_rep2",-0.0666666666666664,1.04729412282063,FALSE
"pRPS3-mCherry-tRPS13","pRPS3","mCherry","tRPS13","URA3-ORF","bio_rep3",0.0377777777777784,0.974154308612393,FALSE
