"strain","pro_mCh","promoter","mCherry","target_id","UTR3","terminator","construct","bio_rep","exp_rep","deltacq","rel_abund_deltacq","na.rm","remove"
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modB","tRPS3","modB","bio_rep1","1",-0.21111111111111,1.15757936609865,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modB","tRPS3","modB","bio_rep2","1",-0.196666666666667,1.14604736197,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modB","tRPS3","modB","bio_rep3","1",-0.71111111111111,1.63706443905996,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modB","tRPS3","modB","bio_rep4","2",-0.107777777777777,1.07756715167467,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modB","tRPS3","modB","bio_rep5","2",-0.107777777777777,1.07756715167467,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modB","tRPS3","modB","bio_rep6","2",-0.359999999999999,1.2834258975629,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modB","tRPS3","modB","bio_rep1","1",0.738888888888889,0.599200657142235,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modB","tRPS3","modB","bio_rep2","1",0.773333333333333,0.585064126603057,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modB","tRPS3","modB","bio_rep3","1",0.698888888888888,0.616046480549334,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modB","tRPS3","modB","bio_rep4","2",0.242222222222223,0.845442051619845,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modB","tRPS3","modB","bio_rep5","2",0.322222222222223,0.79983691779833,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modB","tRPS3","modB","bio_rep6","2",0.44,0.737134608645551,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modC","tRPS3","modC","bio_rep1","1",-0.632222222222222,1.54995058661641,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modC","tRPS3","modC","bio_rep2","1",-0.779999999999999,1.71713087287551,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modC","tRPS3","modC","bio_rep3","1",-0.794444444444444,1.73440935627203,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modC","tRPS3","modC","bio_rep4","2",-1.09333333333333,2.13366448589072,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modC","tRPS3","modC","bio_rep5","2",-1.72888888888889,3.31472432014139,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modC","tRPS3","modC","bio_rep6","2",-2.38111111111111,5.20937795011992,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modC","tRPS3","modC","bio_rep1","1",-0.122222222222222,1.08841007951026,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modC","tRPS3","modC","bio_rep2","1",-0.19,1.14076371586842,FALSE,FALSE
