exp_rep,target_id,sample_id,strain,bio_rep,pro_mCh,promoter,mCherry,delta_cq,UTR3,terminator,construct,ref_delta_cq,deltadelta_cq,rel_abund_delta_deltacq,remove
2,mCh-7,pRPS3-mCherry-tRPS3_modA_bio_rep5,pRPS3-mCherry-tRPS3_modA,bio_rep5,pRPS3-mCherry,pRPS3,mCherry,-1.3455555555555563,tRPS3_modA,tRPS3,modA,-1.3892592592592585,0.043703703703702246,0.9701611386108608,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_modA_bio_rep6,pRPS3-mCherry-tRPS3_modA,bio_rep6,pRPS3-mCherry,pRPS3,mCherry,-1.0633333333333326,tRPS3_modA,tRPS3,modA,-1.3892592592592585,0.32592592592592595,0.7977862004801103,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_modB_bio_rep4,pRPS3-mCherry-tRPS3_modB,bio_rep4,pRPS3-mCherry,pRPS3,mCherry,0.45222222222222364,tRPS3_modB,tRPS3,modB,-1.3892592592592585,1.8414814814814822,0.27903510046874713,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_modB_bio_rep5,pRPS3-mCherry-tRPS3_modB,bio_rep5,pRPS3-mCherry,pRPS3,mCherry,0.5922222222222224,tRPS3_modB,tRPS3,modB,-1.3892592592592585,1.981481481481481,0.25322969868123674,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_modB_bio_rep6,pRPS3-mCherry-tRPS3_modB,bio_rep6,pRPS3-mCherry,pRPS3,mCherry,0.5300000000000011,tRPS3_modB,tRPS3,modB,-1.3892592592592585,1.9192592592592597,0.26439022443635973,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_modC_bio_rep4,pRPS3-mCherry-tRPS3_modC,bio_rep4,pRPS3-mCherry,pRPS3,mCherry,-1.0933333333333337,tRPS3_modC,tRPS3,modC,-1.3892592592592585,0.2959259259259248,0.814549384412063,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_modC_bio_rep5,pRPS3-mCherry-tRPS3_modC,bio_rep5,pRPS3-mCherry,pRPS3,mCherry,-1.7288888888888891,tRPS3_modC,tRPS3,modC,-1.3892592592592585,-0.3396296296296306,1.2654316891531925,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_modC_bio_rep6,pRPS3-mCherry-tRPS3_modC,bio_rep6,pRPS3-mCherry,pRPS3,mCherry,-2.3811111111111103,tRPS3_modC,tRPS3,modC,-1.3892592592592585,-0.9918518518518518,1.9887361065901419,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_modD_bio_rep4,pRPS3-mCherry-tRPS3_modD,bio_rep4,pRPS3-mCherry,pRPS3,mCherry,-1.054444444444444,tRPS3_modD,tRPS3,modD,-1.3892592592592585,0.33481481481481445,0.7928859053804138,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_modD_bio_rep5,pRPS3-mCherry-tRPS3_modD,bio_rep5,pRPS3-mCherry,pRPS3,mCherry,-0.7411111111111115,tRPS3_modD,tRPS3,modD,-1.3892592592592585,0.648148148148147,0.6380988556540527,FALSE
