"strain","pro_mCh","promoter","mCherry","target_id","UTR3","terminator","construct","bio_rep","exp_rep","deltacq","rel_abund_deltacq","na.rm","remove"
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modD","tPIR1","modD","bio_rep1","1",0.0983333333333327,0.934111496364767,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modD","tPIR1","modD","bio_rep2","1",0.23,0.852634891767956,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modD","tPIR1","modD","bio_rep3","1",0.296666666666667,0.8141312676057,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modD","tPIR1","modD","bio_rep4","2",0.543333333333333,0.68618365522189,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modD","tPIR1","modD","bio_rep5","2",0.416666666666666,0.749153538438341,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modD","tPIR1","modD","bio_rep6","2",0.59,0.664342907048256,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modD","tPIR1","modD","bio_rep1","1",0.618333333333332,0.651423046609929,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modD","tPIR1","modD","bio_rep2","1",0.620000000000001,0.650670927720966,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modD","tPIR1","modD","bio_rep3","1",0.656666666666666,0.634342246912466,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modE","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modE","tPIR1","modE","bio_rep4","2",3.205,0.108442335894008,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modE","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modE","tPIR1","modE","bio_rep5","2",3.30166666666667,0.101414323424521,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modE","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modE","tPIR1","modE","bio_rep6","2",2.74,0.149684838077366,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modE","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modE","tPIR1","modE","bio_rep1","1",3.30333333333333,0.101297232651243,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modE","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modE","tPIR1","modE","bio_rep2","1",2.89,0.134903529563054,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modE","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modE","tPIR1","modE","bio_rep3","1",3.18166666666667,0.11021048082492,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modE","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modE","tPIR1","modE","bio_rep4","2",-0.725,1.65290063630842,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modE","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modE","tPIR1","modE","bio_rep5","2",-0.628333333333334,1.54577820864186,FALSE,FALSE
