"Include","Color","Pos","Name","Cp","Concentration","Standard","Status","Well","Cq","ExpRep","WellR","WellC","SampleID","Strain","Pro_mCh","Promoter","mCherry","Ter_mod","Terminator","Construct","BioRep","remove","Type","TechRep","TargetID","norm.by","Value.norm","Value.normexp","Value.norm.mod0"
TRUE,255,"I10","Sample 202",14.75,NA,0,NA,"I10",14.75,"2","I","10","pRPS3-mCherry-tRPS3_modB_BioRep4","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep4",FALSE,"+RT","3","mCh-7",14.4,0.35,0.784584097896751,1.215
TRUE,255,"A11","Sample 11",14.92,NA,0,NA,"A11",14.92,"2","A","11","pRPS3-mCherry-tRPS3_modB_BioRep5","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep5",FALSE,"+RT","1","mCh-7",14.4,0.52,0.697371833175203,1.385
TRUE,255,"E11","Sample 107",14.97,NA,0,NA,"E11",14.97,"2","E","11","pRPS3-mCherry-tRPS3_modB_BioRep5","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep5",FALSE,"+RT","2","mCh-7",14.4,0.57,0.673616788432845,1.435
TRUE,255,"I11","Sample 203",14.69,NA,0,NA,"I11",14.69,"2","I","11","pRPS3-mCherry-tRPS3_modB_BioRep5","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep5",FALSE,"+RT","3","mCh-7",14.4,0.289999999999999,0.817902058557782,1.155
TRUE,255,"A12","Sample 12",15.16,NA,0,NA,"A12",15.16,"2","A","12","pRPS3-mCherry-tRPS3_modB_BioRep6","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep6",FALSE,"+RT","1","mCh-7",14.34,0.82,0.566441942647899,1.685
TRUE,255,"E12","Sample 108",14.88,NA,0,NA,"E12",14.88,"2","E","12","pRPS3-mCherry-tRPS3_modB_BioRep6","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep6",FALSE,"+RT","2","mCh-7",14.34,0.540000000000001,0.687770909069871,1.405
TRUE,255,"I12","Sample 204",14.8,NA,0,NA,"I12",14.8,"2","I","12","pRPS3-mCherry-tRPS3_modB_BioRep6","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep6",FALSE,"+RT","3","mCh-7",14.34,0.460000000000001,0.726986258660155,1.325
TRUE,255,"A13","Sample 13",10.48,NA,0,NA,"A13",10.48,"1","A","13","pRPS3-mCherry-tRPS3_modC_BioRep1","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep1",FALSE,"+RT","1","mCh-7",10.58,-0.0999999999999996,1.07177346253629,0.765
TRUE,255,"E13","Sample 109",9.88,NA,0,NA,"E13",9.88,"1","E","13","pRPS3-mCherry-tRPS3_modC_BioRep1","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep1",FALSE,"+RT","2","mCh-7",10.58,-0.699999999999999,1.62450479271247,0.165
TRUE,255,"I13","Sample 205",9.68,NA,0,NA,"I13",9.68,"1","I","13","pRPS3-mCherry-tRPS3_modC_BioRep1","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep1",FALSE,"+RT","3","mCh-7",10.58,-0.9,1.86606598307362,-0.035000000000001
TRUE,255,"A14","Sample 14",9.96,NA,0,NA,"A14",9.96,"1","A","14","pRPS3-mCherry-tRPS3_modC_BioRep2","pRPS3-mCherry-tRPS3_modC","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modC","tRPS3","modC","BioRep2",FALSE,"+RT","1","mCh-7",10.45,-0.489999999999998,1.404444875738,0.375000000000001
